SKU,Size,Order Code,Model #,Description,Trend Description,Quantity,Cnt Qty,Price, CAD Net Price ,Multiplier, USD List Price , USD Net Price ,Weight (lbs),Notes
2600032,"3/4""",,,"3/4"" S40 316 PIPE",3/4 S40 316L SS WELD PIPE,,,,,,,,,
2600033,"1""",,,"1"" S40 316 PIPE",1 S40 316L SS WELD PIPE,,,,,,,,,
2600034,"1-1/4""",,,"1-1/4"" S40 316 PIPE",1-1/4 S40 316L SS WELD PIPE,,,,,,,,,
2600035,"1-1/2""",,,"1-1/2"" S40 316 PIPE",1-1/2 S40 316L SS WELD PIPE,,,,,,,,,
2600036,"2""",,,"2"" S40 316 PIPE",2 S40 316L SS WELD PIPE,,,9.31,,,,,,
2600037,"2-1/2""",,,"2-1/2"" S40 316 PIPE",2-1/2 S40 316L SS WELD PIPE,,,,,,,,,
2600038,"3""",,,"3"" S40 316 PIPE",3 S40 316L SS WELD PIPE,,,19.18,,,,,,
2600039,"4""",,,"4"" S40 316 PIPE",4 S40 316L SS WELD PIPE,,,27.25,,,,,,
2600040,"6""",,,"6"" S40 316 PIPE",6 S40 316L SS WELD PIPE,,,48.04,,,,,,
2600046,"2""",,,"2"" S10 316 PIPE",2 S10 316L SS WELD PIPE,,,6.76,,,,,,
2600048,"3""",,,"3"" S10 316 PIPE",3 S10 316L SS WELD PIPE,,,10.68,,,,,,
2600049,"4""",,,"4"" S10 316 PIPE",4 S10 316L SS WELD PIPE,,,13.58,,,,,,
2600050,"6""",,,"4"" S10 316 PIPE",6 S10 316L SS WELD PIPE,,,23.22,,,,,,
2600052,"10""",,,"10"" S10 304 PIPE",10 S10 304L SS WELD PIPE,,,37.31,,,,,,
2600053,"12""",,,"12"" S10 304 PIPE",12 S10 304L SS WELD PIPE,,,44.79,,,,,,
2600054,"10""",,,"10"" S10 316 PIPE",10 S10 316L SS WELD PIPE,,,47.02,,,,,,
2600055,"12""",,,"12"" S10 316 PIPE",12 S10 316L SS WELD PIPE,,,70,,,,,,
2600058,"3""",,,"3"" S10 304 PIPE",3 S10 304L SS WELD PIPE,,,7.36,,,,,,
2600059,"4""",,,"4"" S10 304 PIPE",4 S10 304L SS WELD PIPE,,,9.76,,,,,,
2600060,"6""",,,"6"" S10 304 PIPE",6 S10 304L SS WELD PIPE,,,16.87,,,,,,
2600067,"1-1/4""",,,"1-1/4"" S40 304 PIPE",1-1/4 S40 304L SS WELD PIPE,,,,,,,,,
2600068,"1-1/2""",,,"1-1/2"" S40 304 PIPE",1-1/2 S40 304L SS WELD PIPE,,,,,,,,,
2600069,"2""",,,"2"" S40 304 PIPE",2 S40 304L SS WELD PIPE,,,6.45,,,,,,
2600071,"3""",,,"3"" S40 304 PIPE",3 S40 304L SS WELD PIPE,,,12.95,,,,,,
2600072,"4""",,,"4"" S40 304 PIPE",4 S40 304L SS WELD PIPE,,,18.87,,,,,,
2600073,"6""",,,"6"" S40 304 PIPE",6 S40 304L SS WELD PIPE,,,34.96,,,,,,
2600081,"10""",,,"10"" S40 304 PIPE",10 S40 304L SS WELD PIPE,,,85.24,,,,,,
2600082,"12""",,,"12"" S40 304 PIPE",12 S40S 304L SS WELD PIPE,,,111.48,,,,,,
2600116,"2""",,,"2"" S10 304 PIPE",2 S10 304L SS WELD PIPE,,,4.8,,,,,,
2600121,"8""",,,"8"" S10 304 PIPE",8 S10 304L SS WELD PIPE,,,25.12,,,,,,
2600122,"8""",,,"8"" S10 316 PIPE",8 S10 316L SS WELD PIPE,,,34.99,,,,,,
2600124,"3/4""",,,"3/4"" S40 304 PIPE",3/4 S40 304L SS WELD PIPE,,,,,,,,,
2600125,"1""",,,"1"" S40 304 PIPE",1 S40 304L SS WELD PIPE,,,,,,,,,
2600129,"2-1/2""",,,"2-1/2"" S40 304 PIPE",2-1/2 S40 304L SS WELD PIPE,,,,,,,,,
2600133,"8""",,,"8"" S40 304 PIPE",8 S40 304L SS WELD PIPE,,,51.39,,,,,,
2600134,"8""",,,"8"" S40 316 PIPE",8 S40 316L SS WELD PIPE,,,78,,,,,,
2600142,"10""",,,"10"" S40 316 PIPE",10 S40 316L SS WELD PIPE,,,114.61,,,,,,
2600143,"12""",,,"12"" S40 316 PIPE",12 S40 316L SS WELD PIPE,,,135.65,,,,,,
2600231,"14""",,,"12"" S10 304 PIPE",14 S10S 304L SS WELD PIPE,,,,,,,,,
2600234,"16""",,,"16"" S10 316 PIPE",16 S10S 316L SS WELD PIPE,,,,,,,,,
2600235,"18""",,,"18"" S10 304 PIPE",18 S10S 304L SS WELD PIPE,,,,,,,,,
2600238,"20""",,,"20"" S10 316 PIPE",20 S10S 316L SS WELD PIPE,,,,,,,,,
2600239,"24""",,,"24"" S10 304 PIPE",24 S10S 304L SS WELD PIPE,,,,,,,,,
2600240,"24""",,,"24"" S10 316 PIPE",24 S10S 316L SS WELD PIPE,,,,,,,,,
2600427,"14""",,,"14"" S40 304 PIPE",14 S40S 304L SS WELD PIPE,,,,,,,,,
2600428,"16""",,,"16"" S40 304 PIPE",16 S40S 304L SS WELD PIPE,,,,,,,,,
2600429,"18""",,,"18"" S40 304 PIPE",18 S40S 304L SS WELD PIPE,,,,,,,,,
2600430,"20""",,,"20"" S40 304 PIPE",20 S40S 304L SS WELD PIPE,,,,,,,,,
2600431,"24""",,,"24"" S40 304 PIPE",24 S40S 304L SS WELD PIPE,,,,,,,,,
2600433,"16""",,,"16"" S40 316 PIPE",16 S40S 316L SS WELD PIPE,,,,,,,,,
2600434,"18""",,,"18"" S40 316 PIPE",18 S40S 316L SS WELD PIPE,,,,,,,,,
2604502,"2-1/2""",,,"2-1/2"" FF SO FLG 304 #150",2-1/2 150 FF SO FLG 304SS,,,,,,,,,
2607770,"1-1/2""",,,"1-1/2"" FF SO FLG 304 #150",1-1/2 150 FF SO FLG 304SS,,,,,,,,,
